date,time,operator,edition,list,event,playlist_time,ID,playlist_on
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:31:26:13,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:31:56:11,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:32:06:08,GRF_2245_STF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:32:11:08,2518397,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:32:01:12,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:32:31:08,2464392,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:32:41:08,2509560,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:32:51:08,2480508,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:33:06:08,2527502,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:33:36:08,2496317,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:34:06:08,2480714,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:34:26:08,2525444,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:34:56:08,2522008,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:35:11:08,2478757,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:35:21:08,2504522,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:35:21:12,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:35:31:08,GRF_2025_ENF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:35:01:08,ICONX,WP09
